58.256 2.620 3 'CN'  'CENTRAL NORTH SEA (CENTRAL GRABEN)'
58.643 -5.154 2 '**' **NORTHEASTERN SCOTLAND
58.679 -2.793 3 'NN'  'NORTHWESTERN NORTH SEA'
58.663 0.190 2 '  ' 
54.589 3.977 2 '  ' 
54.150 2.488 2 '  ' 
54.631 -0.017 2 '  ' 
55.653 -1.634 2 '  ' 
56.085 -2.129 2 '  ' 
57.297 -1.469 2 '  ' 
58.679 -2.793 2 '**' **NORTHWESTERN NORTH SEA
57.297 -1.469 3 'CS'  'CENTRAL SCOTLAND'
56.085 -2.129 2 '  ' 
55.045 -5.225 2 '  ' 
56.281 -4.633 2 '  ' 
57.297 -1.469 2 '**' **CENTRAL SCOTLAND
56.024 -6.896 3 'IR'  'IRELAND'
55.045 -5.225 2 '  ' 
54.560 -5.186 2 '  ' 
53.690 -5.120 2 '  ' 
51.601 -8.617 2 '  ' 
51.042 -10.566 2 '  ' 
53.725 -11.106 2 '  ' 
56.024 -6.896 2 '**' **IRELAND
56.085 -2.129 3 'SS'  'SOUTHERN SCOTLAND'
55.653 -1.634 2 '  ' 
55.293 -2.472 2 '  ' 
54.836 -3.479 2 '  ' 
54.560 -5.186 2 '  ' 
55.045 -5.225 2 '  ' 
56.085 -2.129 2 '**' **SOUTHERN SCOTLAND
55.653 -1.634 3 'NO'  'NORTHUMBRIA'
54.631 -0.017 2 '  ' 
53.976 -0.765 2 '  ' 
53.728 -1.348 2 '  ' 
55.293 -2.472 2 '  ' 
55.653 -1.634 2 '**' **NORTHUMBRIA
54.836 -3.479 3 'IS'  'IRISH SEA'
53.593 -2.665 2 '  ' 
53.555 -5.110 2 '  ' 
53.690 -5.120 2 '  ' 
54.560 -5.186 2 '  ' 
54.836 -3.479 2 '**' **IRISH SEA
55.293 -2.472 3 'PE'  'PENNINES'
53.728 -1.348 2 '  ' 
53.235 -2.435 2 '  ' 
53.593 -2.665 2 '  ' 
54.836 -3.479 2 '  ' 
55.293 -2.472 2 '**' **PENNINES
53.690 -5.120 3 'SI'  'SOUTHEASTERN IRELAND'
53.555 -5.110 2 '  ' 
52.505 -5.036 2 '  ' 
51.601 -8.617 2 '  ' 
53.690 -5.120 2 '**' **SOUTHEASTERN IRELAND
53.555 -5.110 3 'NW'  'NORTHERN WALES'
53.593 -2.665 2 '  ' 
53.235 -2.435 2 '  ' 
52.543 -2.428 2 '  ' 
52.536 -3.357 2 '  ' 
52.505 -5.036 2 '  ' 
53.555 -5.110 2 '**' **NORTHERN WALES
53.976 -0.765 3 'EM'  'ENGLISH MIDLANDS'
52.994 0.503 2 '  ' 
52.324 -1.032 2 '  ' 
51.959 -1.825 2 '  ' 
52.543 -2.428 2 '  ' 
53.235 -2.435 2 '  ' 
53.728 -1.348 2 '  ' 
53.976 -0.765 2 '**' **ENGLISH MIDLANDS
54.631 -0.017 3 'HU'  'HUMBER'
54.150 2.488 2 '  ' 
52.930 2.614 2 '  ' 
52.994 0.503 2 '  ' 
53.976 -0.765 2 '  ' 
54.631 -0.017 2 '**' **HUMBER
52.505 -5.036 3 'CS'  'CELTIC SEA'
51.335 -5.374 2 '  '  W & S EDGES NEED ADJUSTING (???)
49.864 -5.799 2 '  ' 
48.927 -6.110 2 '  ' 
48.710 -10.160 2 '  ' 
51.042 -10.566 2 '  ' 
51.601 -8.617 2 '  ' 
52.505 -5.036 2 '**' **CELTIC SEA
52.505 -5.036 3 'SW'  'SOUTHERN WALES'
52.536 -3.357 2 '  ' 
52.041 -3.342 2 '  ' 
51.662 -2.434 2 '  ' 
51.379 -2.977 2 '  ' 
51.370 -3.753 2 '  ' 
51.335 -5.374 2 '  ' 
52.505 -5.036 2 '**' **SOUTHERN WALES
52.536 -3.357 3 'WE'  'WESTERN ENGLAND'
52.543 -2.428 2 '  ' 
51.959 -1.825 2 '  ' 
51.662 -2.434 2 '  ' 
52.041 -3.342 2 '  ' 
52.536 -3.357 2 '**' **WESTERN ENGLAND
52.324 -1.032 3 'SE'  'SOUTHERN ENGLAND'
51.383 1.565 2 '  ' 
50.880 1.227 2 '  ' 
50.259 -3.445 2 '  ' 
51.370 -3.753 2 '  ' 
51.379 -2.977 2 '  ' 
51.662 -2.434 2 '  ' 
51.959 -1.825 2 '  ' 
52.324 -1.032 2 '**' **SOUTHERN ENGLAND
52.994 0.503 3 'EA'  'EAST ANGLIA'
52.930 2.614 2 '  ' 
51.383 1.565 2 '  ' 
52.324 -1.032 2 '  ' 
52.994 0.503 2 '**' **EAST ANGLIA
51.335 -5.374 3 'CD'  'CORNWALL-DEVON'
51.370 -3.753 2 '  ' 
50.259 -3.445 2 '  ' 
49.864 -5.799 2 '  ' 
51.335 -5.374 2 '**' **CORNWALL-DEVON
50.880 1.227 3 'EC'  'ENGLISH CHANNEL'
50.581 1.899 2 '  '  S EDGES NEED ADJUSTING (FRA)
48.975 -4.405 2 '  ' 
48.927 -6.110 2 '  ' 
49.864 -5.799 2 '  ' 
50.259 -3.445 2 '  ' 
50.880 1.227 2 '  '  **ENGLISH CHANNEL
51.383 1.565 3 'DS'  'DOVER STRAITS'
51.090 2.256 2 '  '  NEEDS TO BE AGREED WITH FRA
50.581 1.899 2 '  ' 
50.880 1.227 2 '  ' 
51.383 1.565 2 '  '  **DOVER STRAITS  END REGIONS UNITED KINDOM + IRELAND
53.470 11.540 3 'AM'  'ALTMARK'   
53.280 12.340 2 '  ' GERMANY
51.860 12.440 2 '  ' 
51.830 11.870 2 '  ' 
52.180 10.620 2 '  ' 
52.375 10.700 2 '  ' 
52.822 10.903 2 '  ' 
53.165 10.802 2 '  ' 
53.350 10.520 2 '  ' 
53.470 11.540 2 '**' **ALTMARK
47.386 10.427 3 'BY '  'BAVARIAN ALPS'
47.523 10.036 2 '  '  AUSTRIA - GERMANY BORDER REGION 
47.619 10.330 2 '  ' 
47.801 12.337 2 '  ' 
47.981 13.152 2 '  ' 
47.641 13.111 2 '  ' 
47.670 12.160 2 '  ' 
