-A0MAC464119.0N1061320.0W  897.0Subarray A0 LASA
TNE     5055.0N1271425.0E    0.0Ternate
TNF   323148.0N  51908.4W 2250.0Tounfit
TNG    61018.0S1063846.2E   14.0Tangerang
TNGT R210900.0S1751048.0W    0.0Tongatapu
TNH   343442.0N1054506.0E    0.0Tianshui
TNJ   350153.2N1351249.1E  310.0Tannan
TNK   391603.0N1201409.0W 2438.0Tinkers Knob
TNL   561648.0N1132136.0E  820.0Tonnel'nyy
TNN   651524.0N1515442.0W  504.0Tanana
TNO   450331.5N  74149.0E  260.0Torino
TNP   380455.2N1171304.8W 1932.0Tonopah
TNR   453907.2N 241622.8E  519.0Turnu Ro\c su
TNRJ  345428.1N1375306.7E   66.0Tenryu
TNS   501321.0N  82650.3E  815.0Taunus
TNT  C434000.0N 792400.0W  111.0Toronto
TNTG  413936.0N 442436.0E  120.0T'onet'i
TNU  U573816.8N 141608.4E    0.0Tenhult
TNV   744142.0S1640726.4E   40.0Terra Nova Bay
TNZ  C391114.0S1742249.0E  123.0Tarata
TO-                             (Alternate Abbreviation for TO-OK)
TO-OKC342123.0N 963405.0W  259.0Tishomingo
TOA   620617.1N1461020.4W  909.0Tolsona
TOAZ    1044.4S 783655.8W 4200.0Toaza
TOB   110827.6N 605027.6W   15.0Tobago (Crown Point)
TOBT R391124.0N1393300.0E   20.0Tobi-shima
TOC   264500.0N 944600.0E   87.0Tocklai
TOD   493620.4N  84813.8E  570.0Tromm
TOG  C353300.0N1402200.0E    9.0Togane
TOH  F                          Tohoku University, Sendai, Japan
TOI   441316.4N1414101.4E   40.0Tomamai
TOK   354112.0N1394530.0E   21.0T\=oky\=o
TOKT  401913.2N 363241.4E  500.0Tokat
TOL  C395253.0N  40255.0W  480.0Toledo
TOLC   43519.5N 752023.5W 2516.0Tolima
TOM  C323630.0N1284554.0E   28.0Tomie
TOMM R374830.7S1462058.9E  932.0Thomson
TON  C391210.0S1753217.0E 1120.0Tongariro
TOO   373417.0S1452926.0E  604.0Toolangi
TOP   531348.0N1580227.6E  200.0Topolovo
TOPO  383527.6N 275508.4W  645.0Topo
TOR  C302854.0N1401818.0E   82.0Tori-shima (Torisima)
TORD R130600.0N  14200.0E    0.0Torodi
TORE R443625.8N 113131.8E   16.0Minerbio--Torre
TORNY 464625.0N  65731.0E  760.0Torny
TORR R365820.4N  40427.6W 1321.0Tordecillas
TORT C105430.2N 651850.0W   40.0La Tortuga
TORV R 93336.0N 701348.0W 1250.0Torococo
TOS   410209.6N 340122.8E 1046.0Tosya
TOT   353042.0N1341042.0E   18.0Tottori
TOTJ  352842.0N1341618.0E    0.0Tottori Outpost
TOU   345743.2N  34514.4W 1126.0Touzarine
TOUF  440048.6N  71453.9E 1830.0Mont Tournerait
TOV    94733.0N 694733.3W  650.0El Tocuyo
TOW   354832.4N1174551.6W  684.0Tower One
TOY   364224.0N1371230.0E   10.0Toyama
TOZ   374351.0S1753007.0E    0.0Tahuroa Road
TP-NVC371201.0N1161334.0W 2256.0Tippipah
TP2  C144700.0N 910116.8W 3075.0Tecpan 2
TPA  C274918.0S 641442.0W  177.0Tala Pozo
TPAW  432924.3N1105702.3W 2512.0Teton Pass
TPB  U253548.0N1090312.0W   25.0Topolobampo
TPC   340621.0N1160255.8W  720.0Twentynine Palms
TPE   401742.7N 200039.2E  240.0Tepelena
TPG  C173338.4N 983319.8W 1100.0Tlapa
TPH   380430.0N1171321.0W 1883.7Tonopah
TPI    24527.0S1073912.6E    0.0Tanjungpandan
TPIG R     0.0N      0.0E    0.0Tehuac\'an
TPJ  C 70600.0S1140200.0E    0.0Tangkuban-Prahu
TPK  C371607.0N1164816.0W 2080.0Tolicha Peak
TPL   220552.0S 701234.0W   40.0Tocopilla
TPM   185900.0N 990342.0W 1500.0Tepoztlan
TPMO  363224.0N 895107.2W   83.0Tallapoosa
TPMT  444347.4N1113956.4W 2518.0Tepee Creek
TPN  C 82124.7S1465901.4E  989.0Tapini
TPNV  365655.8N1161458.2W 1600.0Topopah Spring
TPO   345243.8N1181339.6W  799.0Tropico Hills
TPOR  450128.0N1170509.0W 2000.0Trinity Point
TPP   101901.2N 612703.6W   46.0Pointe-a-Pierre
TPR   111109.6N 604637.2W  245.0Prospect
TPRS  340519.8N1183512.0W   -1.0Tripped Ranch
TPT   145904.0S1473711.0W    3.0Tiputa
TPTC R104048.0N 613412.0W   49.0Pt. Cumana
TPU  C373616.6N1153858.6W 1964.0Tempiute Mountain
TPUB R231800.0N1203748.0E    0.0
TPV  C380357.0N1171340.8W 1890.0Tonopah
TPX   145418.0N 921540.0W  150.0Tapachula
TPZ   212754.0S 654258.0W 2960.0Tupiza
TQ-MSC310758.0N 893416.0W  130.0Tatum Dome
TQP                             (Alternate Abbreviation for TAY)
TQTN  353057.6N 844333.0W  260.0Tranquillity
TQV   214942.0N1051230.0E   35.0Tuyen-Quang
TR1  R280025.2N 335707.2E  280.0
TR2  R282306.0N 334319.2E  275.0
TRA  C441300.0N 174100.0E    0.0Travnik
TRACEF                          (keyword for telegraphic format)
TRAV  453045.6N  74449.2E  990.0
TRB   340458.2N 724256.4E  532.0Tarbela
TRBA R131300.0N 440800.0E    0.0At Turbah
TRC   355643.8N1202827.0W  552.0Taylor Ranch
TRD    83028.8N 765730.6E   64.0Trivandrum
TRE  C391700.0N 161900.0E  534.0Trente
TREF  433726.8N  52302.0E  460.0Trevaresse
TRF   632703.6N1501714.4W 1717.0Thorofare Mountain
TRG   524536.0N1062053.0E  718.0Tyrgana
TRGS C423008.0N  15800.0E 1700.0Targassone
TRH   192454.6N1553257.6W 3207.0Trail
TRHT  402059.0N 361040.0E 1190.0Turhal
TRI   454232.0N 134551.0E  161.0Trieste (Grotta Gigante)
TRIN R     0.0N      0.0E    0.0Trindade
TRIS R     0.0N      0.0E    0.0Tristan da Cunha
TRJ  C213047.0S 644634.0W 2100.0Tarija
TRK  C330719.8N 794640.0W   10.0Turkey Creek
TRKM F                          Institute of Seismology, Turkmenistan
TRKS  413148.0N 710824.0E 1640.0Terek-Say
TRL  R     0.0N      0.0E    0.0Tripolis
TRLG  413300.0N 440054.0E 1550.0T'rialet'i
TRM  C441534.9N 701518.3W  113.0Turner
TRMF  143210.8N 610304.2W   78.0Trois Ilets
TRN   103852.8N 612410.8W   24.0Trinidad (Saint Augustine)
TRO   693757.0N 185541.0E   15.0Troms\o
TRON R632716.2N 102610.7E   34.0Trondheim
TROT  353342.0N  93600.6E  900.0Trozza
TRP    80440.8S 785139.6W    0.0Trujillo
TRQ   461320.0N 743320.0W  853.0Mont Tremblant
TRQA  380324.1S 615846.2W  501.0Tornquist
TRR   421815.0S1462700.0E  579.0Tarraleah
TRRB  220914.8S 431143.8W  222.0Tres Rios
TRS  C453834.0N 134514.0E    8.0Trieste (Campo Marzio)
TRT    74214.4S1123806.0E    0.0Tretes
TRTC  103431.2N 834248.6W  105.0Tortuguero
TRTE  582243.0N 264313.8E  100.0Tartu
TRU  C 72645.0N1515120.0E  107.0Truk
TRV  C454000.0N 121100.0E   14.0Treviso
TRWA  431554.8S 652238.4W    0.0Trelew
TRXW  434457.3N1103348.4W 2256.0Triangle-X Ranch
TRY   424352.0N 734001.0W  131.0Troy
TRYN  351445.6N 821601.2W  915.0Tryon Peak
TRZ  C393312.0S1764917.0E   17.0Taradale
TS-                             (Alternate Abbreviation for TS-ND)
TS-NDC470625.0N1034023.0W  816.0Trotters
TSA  R222320.0S 634631.0W  425.0Tranquitos
TSAL  331522.0N 870403.0W  180.0Tannehill State Park
TSB   524554.0N1320200.0W   30.0Tasu
TSC   484612.0N 981500.0E 1450.0Tosontsengel
TSE   430000.0N 411800.0E  430.0Tsebelda
TSI    33003.0N 983352.2E    0.0Tuntungan
TSIM  611334.3N1452014.3W 1113.0Tsina
TSK   361239.0N1400635.0E  280.0Tsukuba
TSL  C362220.0N1091437.0W 2012.0Tsaile (Navajo Community College)
TSM    41737.0N1175221.0E   62.0Tawau
TSN   360400.0N1201900.0E   70.0Qingdao (Tsingtau)
TSO  C360853.4N 955352.3W  210.0Tulsa
TSP   354707.0N1054653.0W 3664.0Tesuque Peak
TSR   353900.0N1360354.0E    1.0Tsuruga
TSRJ  353212.0N1355900.0E  140.0Tsuruga Outpost
TSS   340230.0N1341012.0E   57.0Tsurugisan (Anabuki)
TST  C401453.9N 282223.9E   35.0Ta\c sl\i k
TSTN  354035.8N 834214.5W  341.0Townsend
TSTOPF                          (keyword for telegraphic format)
TSU   344206.0N1363106.0E    4.0Tsu (Tu)
TSU1  344348.0N1363124.0E   18.0Tsu
TSUJ  344236.0N1362512.0E   30.0Tsu 2
TSUM  191207.9S 173501.7E 1240.0Tsumeb
TSV  C381206.0N1161030.0W 1585.0Twin Springs
TSY   352222.0N  55812.0W    0.0Tnine Sidi el Yamani
TT-                             (Alternate Abbreviation for TT-MI)
TT-MIC461235.0N 851004.0W  259.0Trout Lake
TT01  625423.8N1560113.4W  380.4Tatalina
TTA   625548.4N1560041.8W  990.0Tatalina
TTC   400806.0N1131413.2E 1175.0Tatung (Datong)
TTE  C453845.7N 134543.2E    3.0Trieste
TTG   422547.0N 191539.0E   40.0Podgorica (Titograd)
TTH   393228.8S1764934.2E  120.0Taradale Trig
TTI  C402434.6N 171659.9E   20.0Taranto
TTK   394554.0N 280242.0E  430.0Tokmak
TTL  C625355.0N1555834.0W    0.0Tatalina
TTM   342007.2N1144939.0W 1098.0Turtle Mountains
TTN   224514.5N1210847.6E    9.0Tai-tung (Taito)
TTOK R353023.5N1345838.1E  190.0Tanto
TTP   353634.0N1061223.0W 2103.0Tetilla Peak
TTR   104026.4N 610357.6W   46.0Matura
TTS   472848.0N1012624.0E 1760.0Tsetserleg
TTT  R353052.9N1341416.0E   10.0Tottori
TTU  C582300.0N 264300.0E    0.0Tartu (Dorpat, Jurjeio)
TTV   610317.4N1470717.4W  533.0Teren Tiev Lake
TTW   474140.7N1214120.0W  542.0Tolt Reservoir
TTX  R291859.0N1034305.0W 1006.0Tres Cuevas
TTZ  C270500.0N1421100.0E    0.0Chichi-shima (Chichijima, Titizima)
TU-                             (Alternate Abbreviation for TU-PA)
TU-PAC413417.0N 760812.0W  366.0Tunkhannock
TU1  C422507.0N 115228.0E  166.0Tuscania
TUA  C384829.0S1770902.0E  274.0Tuai
TUB  C483137.0N  90340.0E  330.0T\"ubingen
TUBL  483121.7N  90458.4E  215.0T\"ubingen--Lennartz
TUC   321835.0N1104703.0W  906.0Tucson
TUE   462819.9N  92049.9E 1955.0Stuetta
TUG   571724.0N1213000.0E  345.0Tungurcha
TUH  C331748.0S 190900.0E  190.0Tulbagh
TUI  R 95030.3N 833326.4W 1300.0Tuis
TUIG  180202.0N 942521.7W  100.0Tuzandepetl
TUK  C692624.0N1330142.0W   10.0Tuktoyaktuk
TUL   355438.0N 954733.0W  256.0Tulsa (Oklahoma Geophysical Observatory)
TULC R     0.0N      0.0E    0.0Monteloro
TULE R     0.0N      0.0E    0.0Thule
TULEG 763214.6N 684925.3W   38.0Thule
TUM   470054.0N1225430.0W   20.0Tumwater
TUMC   15007.8N 784332.2W   50.0Tumaco
TUN  C364800.0N 100800.0E    0.0Tunis
TUNG   12505.4S 782643.8W 2774.0Tungurahua
TUNR  500936.0N 861948.0E  850.0Tungur
TUO  C321448.0N1105006.0W  770.0Tucson Observatory
TUP   542530.0N1195714.0E  650.0Tupik
TUR  C414400.0N 693900.0E    0.0Turbat
TURI  253300.0N 902000.0E  305.0Tura
TUS  C431048.0N 785733.0W  165.0Tuscarora
TUT  C322006.0N1104324.0W 1439.0Tucson--Telemeter
TUTZ  384242.0S1755928.0E  614.0Tuhingamata
TUU  R453909.0N 241623.0E  519.0Turnu Ro\c su
TUV  R 92103.6N 702703.6W    0.0Trujillo
TUVZ  391609.0S1753913.0E 1410.0Tukino
TUY   382324.0N1411312.0E    0.0Tsuyama
TUYM R     0.0N      0.0E    0.0Tsuyama
TUZ   455722.0S1693756.0E  110.0Tuapeka
TVA  F                          Tennessee Valley Authority
TVG   155846.8N 613852.2W  185.0Trois Rivieres
TVGG C342237.9N 851808.3W  323.0Rocky Mountain Net
TVI   165533.3S1795733.5E  814.0Taveuni
TVL  C191542.0S1464606.0E    5.0Townsville
TVO   174657.0S1491506.0W  620.0Taravao
TWA   245849.1N1213501.2E  260.0Mu-cha
TWAR  352141.0N 903334.9W   61.0Twist
TWB   330652.8N 800610.8W    9.0Tillmans-Whites Bay
TWB1  250029.9N1215917.8E   20.0San-tiao Chiao
TWBB  483504.6N1240531.2W  122.0Timber West Blakeney
TWC   243633.0N1215055.8E   20.0Su-ao
TWD   240448.0N1213543.8E   30.0Chia-wan
TWE   244316.0N1214001.2E   20.0Neicheng
TWE* U234412.1N1202531.8E  140.0Feng-lin
TWF  C232057.0N1211745.0E  180.0Yu-li
TWF1  232107.8N1211749.2E  265.0Yu-li
TWG   224914.4N1210418.0E  195.0Pin-lang
TWGB  483627.3N1241521.1W  127.0Timber West Granite
TWH   224237.2N1212838.2E   50.0Lutao
TWI   220405.9N1203018.0E   20.0Lanshu
TWJ1  222210.5N1205301.7E  150.0Ta-wu
TWK   231600.0N1202916.8E  590.0Hsin-ying
TWK1  215635.8N1204819.0E   90.0Heng-ch'un
TWKB  483841.5N1234359.5W  128.0Timber West Koksilah
TWL   341642.0N1183540.2W  390.0Twin Lakes
TWM  C223830.0N1201505.4E  340.0Shou Shan
TWM1  224931.8N1202527.6E  340.0Shou Shan
TWMO R104012.0N 613336.0W    0.0Westmoorings
TWN  C360309.6N1213027.0W  148.0Twin Peaks
TWO   233434.1N1203258.2E  231.0Mei-shan
TWO1  233413.8N1203540.5E  231.0Mei-shan
TWOA C350157.0S1383441.0E  165.0Tennyson Woods Observatory (Adelaide)
TWP   222045.6N1202145.0E   80.0Hsiaoliuchiu
TWQ   241628.8N1205009.0E  443.0Tung-shih
TWQ1  242052.8N1204622.8E  260.0Liyutan
TWR   243824.3N1210443.0E  760.0Chu-tung
TWS1  250602.9N1212503.7E   60.0Kuan-yin Shan
TWT   241511.8N1211032.8E 1510.0Ta-chien
TWTR R     0.0N      0.0E    0.0Twelvetrees Range
TWU   245239.0N1213201.0E  330.0Wu-lai
TWW   470817.2N1205204.5W 1046.0Teanaway
TWX   251155.6N1213941.7E   40.0Kuosheng
TWY   251632.8N1213558.5E   20.0Chenhua
TWZ   250549.2N1213444.4E  280.0Nei-hu (Neifu)
TX00  292001.7N1034001.2W 1013.0Lajitas Array Sites 0 and 1
TX02  291946.9N1033927.0W  952.0Lajitas Array Site 2
TX03  291951.6N1034026.4W  990.0Lajitas Array Site 3
TX04  292022.9N1034001.9W 1013.0Lajitas Array Site 4
TX05 C291912.7N1033908.3W  957.0Lajitas Array Site 5
TX06  291907.3N1034053.4W 1007.0Lajitas Array Site 6
TX07  292022.9N1034120.4W 1038.0Lajitas Array Site 7
TX08  292103.6N1034035.4W 1015.0Lajitas Array Site 8
TX09  292035.9N1033935.3W 1001.0Lajitas Array Site 9
TX10  291950.5N1034209.0W 1033.0Lajitas Array Site 10
TXAR  292001.7N1034001.2W 1013.0Lajitas Array Beam Reference Point
TXB   494148.8N1242609.6W  515.0Texada
TXIARR     0.0N      0.0E    0.0Lajitas Infrasonic Array Beam Reference Point
TXNY  411039.0N 741119.4W  143.0Tuxedo
TXO  C171654.0N 974054.0W 2025.0Tlaxiaco
TY-                             (Alternate Abbreviation for TY-MN)
TY-MNC442045.0N 953111.0W  351.0Tracy
TYC   235414.4N1205125.2E   20.0Yuchr
TYF   343000.0N1090400.0E  365.0Tung-yuan-fang
TYH  C344545.3N1372812.3E   76.0Toyohashi
TYI   433600.0N1152707.8W 2613.0Trinity Mountain
TYK   353200.0N1344930.0E    4.0Toyooka
TYM   345814.9N1395053.2E   30.0Tateyama
TYN   374712.0N1123524.0E    0.0Taiyuan
TYNN R350758.5N1374010.4E  650.0Toyone
TYNO  430541.9N 795212.6W  205.0Tyneside
TYS   383133.6N 903357.6W  195.0Tyson Valley
TYV   505146.8N1423921.6E  160.0Tymovskoye
TZC   320852.8N  62924.0W 1700.0Tazercounte
TZK   340520.4N  41102.4W 1980.0Tazeka
TZL   620240.2N1452525.8W  366.0Tazlina
TZN  F                          University of Dar es Salaam, Tanzania
TZO  R     0.0N      0.0E    0.0
TZR   263800.0N 924800.0E    0.0Tezpur
TZZ    51605.0S1411316.0E  700.0Tabubil
UALR  344631.1N 922037.0W  138.0University of Arkansas, Little Rock
UAV    83636.0N 710841.0W 1600.0Universidad de los Andes (M\'erida)
UAV1 R     0.0N      0.0E    0.0Merida network
UAV2 R     0.0N      0.0E    0.0Merida network
UBC  F                          University of British Columbia
UBIC F                          Univ. de Barcelona i Institut d'Estudis Catalans
UBO  C401918.0N1093407.3W 1596.0Uinta Basin Array
UBR   474050.8N 100629.0E  895.0\"Uberruh
UCC   504754.0N  42134.0E  105.0Uccle
UCH   421339.0N 743048.2E 3850.0Uchtor
UCN  R     0.0N      0.0E    0.0Ubehebe Crater
UCR  F                          Universidad de Costa Rica, San Jose
UCT  C414954.0N 721502.0W  149.0University of Connecticut (Storrs)
UDD   600524.0N 133624.0E  240.0Uddeholm
UDEC F                          Universidad de Concepcion, Chile
UDI   460354.0N 131412.0E  112.0Udine OGS
UDN  C460347.3N 131416.1E  100.0Udine
UDO  F                          Universidad de Oriente, Cumana
UDP   325406.0N 750448.0E    0.0Udhampur
UDU   160907.6S1795916.9W  170.0Udu Point (Undu Point)
UDYN  135800.0N 435930.0E    0.0Al `Udayn
UER  C513346.8N 940513.2E  660.0Ust'-Elegest
UFA  R544800.0N 560000.0E    0.0Ufa
UFRS  300314.4S 510727.7W  296.0P\^orto Alegre
UGI  C572340.2N1521654.0W  213.0Ugak Island
UGK   350548.0N1362822.6E  290.0Ugakei
UGL   490440.8N1420357.6E   40.0Uglegorsk
UGLR  531232.0N1584926.0E 1140.0Uglovaya
UGM    75445.0S1103123.2E  350.0Wanagama
UGO  R210101.2N1011519.8W    0.0Universidad de Guanajuato
UGRT  353639.4N 840701.2W  302.0Union Grove
UHA  R     0.0N      0.0E    0.0Ushuaia
UJI   345159.8N1354936.7E  290.0Uji
UJZ  C150430.0N 920500.0W    0.0
UK-                             (Alternate Abbreviation for UK-OR)
UK-ORC450535.0N1185355.0W 1311.0Ukiah
UKAQ  205356.4S1470737.2E  200.0Ukalunda
UKI   390814.0N1231238.0W  199.0Ukiah
UKL  C572406.0N1565118.0W  410.0Ugashik Lake
UKR   505613.2N 844622.8E 1100.0Ust'-Kan
UKT   552920.0N1133737.0E 1140.0Uakit
UKTR  430650.0N 470450.0E  120.0Uchkent
ULA  C 50023.0S1511520.0E   10.0Ulamona
ULBA   12657.5S 782427.7W 2960.0Ulba
ULC   415748.1N 191458.9E  465.0Ulcinj
ULDT  400832.0N 290810.0E 1734.0Uluda\u g
ULE  F                          University of Leeds, Yorkshire, UK
ULG   495736.0N 920336.0E  980.0Ulaangom
ULHL  421444.2N 761430.1E 2040.0Ulahol
ULM   501458.8N 955230.0W  281.0Lac du Bonnet
ULN   475154.7N1070310.1E 1615.0Ulaanbaatar
ULO    50332.4S1511810.8E  980.0Ulamona
UMB  C301424.0S1390741.0E  610.0Umberatana
UME   634854.0N 201412.0E   16.0Umea
UMI   253100.0N 924400.0E    0.0
UMJ   333246.3N1340249.3E  320.0Umaji
UMJE R351134.2N1382952.5E  250.0Umejima
UMJS  251402.4N 371842.8E  130.0Umm Lajj
UMR   293306.9N 474257.0E   82.0Umm ar Rimam
UMS   131452.8N1234355.2E  330.0Upper Santa Misericordia
UMT  C313500.0S 284518.0E  800.0Umtata
UNA  C535224.0N1663200.0W    0.0Unalaska
UNAH  140430.0N 871030.0W 1020.0Universidad Nacional Autonoma de Honduras
UNAM F                          Universidad Nacional Aut\'onoma de M\'exico
UNB   454646.2N 663839.0W   64.0University of New Brunswick (Fredericton)
UNCR  424250.0N 464740.0E  650.0Uncukul
UNJ   320057.0N 355215.0E 1050.0University of Jordan, Amman
UNK  F                          (phase code designation)
UNL  C635336.0N1604112.0W   91.0Unalakleet
UNM   191944.4N 991040.8W 2257.0Universidad Nacional Aut\'onoma de M\'exico
UNR   643412.0N1431342.0E  485.0Ust'-Nera
UNV   535047.4N1663007.2W   67.0Unalaska Valley
UNZ   324424.0N1301554.0E  678.0Unzendake
UOA  C321359.0N1105710.0W  741.0University of Arizona
UOCO R390824.0N 843119.2W  226.0University of Cincinnati
UON  C175812.0N1014854.0W    0.0La Uni\'on
UPA    85851.6N 793201.8W   41.4Universidad de Panama
UPE  F                          (keyword for telegraphic format)
UPI   282143.0S 211509.8E  845.0Upington
UPN  F                          (keyword for telegraphic format)
UPNG  724705.3N 560826.9W  110.0Upernavik
UPP   595130.0N 173736.0E   14.0Uppsala
UPS   471550.0N1222901.0W  113.0University of Puget Sound
UPZ  F                          (keyword for telegraphic format)
UQSK  254720.4N 422136.0E  950.0`Uqlat a\c s \c Suq\=ur
URA   420930.0N1424648.0E   30.0Urakawa
URA3  421636.0N1424000.0E   30.0Urakawa 3
URAJ  421328.8N1424218.0E   40.0Urakawa 2
URCR   11310.2N 772035.5W 3494.0
URG  R510555.0N1322150.0E    0.0Urgal
URH   425537.3N1434028.0E  120.0Urahoro
URKR  420956.0N 473800.0E 1300.0Urkarakh
URS   333215.2N1332918.9E   25.0Ugurusu
URSC   95006.0N 834641.4W 1500.0Urasca
URT   395500.0N 690100.0E    0.0\u Uroteppa (Ura-Tyube)
URZ   381537.0S1770637.0E  100.0Urewera
USA  R     0.0N      0.0E    0.0Tunal
USA0 R     0.0N      0.0E    0.0Ussuriysk Array Site A0
USA1 R     0.0N      0.0E    0.0Ussuriysk Array Site A1
USA2 R     0.0N      0.0E    0.0Ussuriysk Array Site A2
USA3 R     0.0N      0.0E    0.0Ussuriysk Array Site A3
USAF F                          US Air Force Technical Applications Center
USAV F                          USGS Alaska Volcano Observatory
USAVOF                          USGS Alaska Volcano Observatory
USB  F                          (magnitude source code for USBR)
USB1 R     0.0N      0.0E    0.0Ussuriysk Array Site B1
USB2 R     0.0N      0.0E    0.0Ussuriysk Array Site B2
USB3 R     0.0N      0.0E    0.0Ussuriysk Array Site B3
USB4 R     0.0N      0.0E    0.0Ussuriysk Array Site B4
USB5 R     0.0N      0.0E    0.0Ussuriysk Array Site B5
USBR F                          U.S. Bureau of Reclamation, Denver
USC   340109.0N1181709.5W   17.0University of Southern California
USHU R545036.0S 683325.0W   12.0Ushuaia
USI   384228.3N 131044.9E  285.0Ustica
USIL  432501.0N   3816.9W   95.0Lacq--Usine
USIN  375754.3N 873957.7W  170.7University of Southern Indiana
USK   441700.0N1320459.0E    0.0Ussuryisk
USL  C572354.0N1570148.0W  500.0Ugashik Lake
USMR  602512.0N1343224.0E  170.0Ust'-Maya
USNN F                          U.S. National (broadband) Seismic Network, Golde
USO  C610900.0N1493800.0E    0.0Ust'-Omchug
USP   431600.8N 742958.9E  740.0\"Ospenovka (Uspenovka)
USRK R441200.0N1320000.0E    0.0Ussuriysk Array
USTN F                          USGS National Telemetered Network, Golden
USTO  354200.0N   3420.0W  405.0Oran
USTOPF                          (keyword for telegraphic format)
USZ   563342.0N1213530.0E  415.0Ust'-Nyukzha
UTF   330206.0S 713615.0W   50.0Valparaiso
UTLO R413932.4N 833704.8W  178.0University of Toledo
UTM  C361724.0N 885627.6W  108.0University of Tennessee at Martin
UTMA  361734.8N 885833.6W  108.0University of Tennessee at Martin
UTMT  362032.3N 885151.1W  120.0University of Tennessee at Martin
UTO   413943.0N 833427.3W  179.0University of Toledo
UTS   363236.0N1395218.0E  120.0Utsunomiya (Utunomiya)
UTSU  363249.3N1395501.4E  110.0Utsunomiya
UTT   344917.4S1384412.1E  300.0Tea Tree Gully
UTU   381039.0S1761132.0E  410.0Utuhina
UVA  R     0.0N      0.0E    0.0Dutch Harbor
UVC  F                          Universidad del Valle, Cali
UVI    32400.0S 290700.0E  950.0Uvira
UVN  C402632.4N1180930.0W 1926.0Unionville
UVN1 C402700.0N1180900.0W 1870.0Unionville
UVO   423324.7N1405044.5E  143.0Usu Kazan Kan
UWA   331330.0N1323330.0E   43.0Uwajima (Uwazima)
UWA2  331248.0N1323730.0E  460.0Uwajima 2 (Hiromi)
UWE   192524.0N1551736.0W 1240.0Uwekahuna
UWL  C435016.0N 743236.0W  561.0Utowana Lake
UWM   430446.1N 875242.2W  204.0University of Wisconsin at Milwaukee
UWOO C430039.6N 811620.6W  248.0University of Western Ontario
UYO   341000.0N 942731.7W  231.0Union Valley
UZBK F                          Institute of Seismology, Uzbekistan
UZD   463533.0N 183454.5E  207.0\'Uzd
UZH   483751.6N 221734.8E  160.0Uzhhorod (Uzhgorod, Unuar)
UZT  C343454.0N1330833.8E  230.0Uzuto
UZU   394231.0N 394153.0E 1500.0\"Uz\"uml\"u
VAA                             (Alternate Abbreviation for RTCV)
VACK  500829.0N 122821.6E  457.0Vackovec
VACR  102822.8N 844039.0W  360.0Volc\'an Arenal
VAE   372841.9N 142442.8E  690.0Valguarnera
VAF   630231.9N 224017.4E   55.0Ylistaro
VAG   381857.8N 225401.0E  760.0Aggia Anna
VAH   151411.0S1473738.0W    2.0Vaihoa
VAI   455200.0N  84615.0E 1200.0Varese
VAJ   461600.0N 121948.0E  725.0Vajont (Belluno)
VAL   515622.0N 101439.0W   14.0Valentia
VALF  422406.6N  20102.4E 1580.0Valceboll\`ere
VALM  442056.4N 101449.2E  790.0
VALQ R480744.4N 773339.6W  245.0Val d'Or
VAM   352425.0N 241159.0E  225.0Vamos
VAN   375652.8N 580628.8E  580.0Vannovskaya
VAN2 R405711.2N   4935.8E  180.0Central Nuclear Vandellos 2
VANB  383542.0N 432320.4E 1227.0Van
VANT  382642.0N 432319.8E 1750.0Van
VAO   230007.9S 465756.9W  840.0Valinhos
VAO2  231330.0S 463230.0W 1120.0Atibaia
VAO3  223437.2S 462624.0W 1370.0Socorro
VAR   251800.0N 830100.0E   88.0Varanasi
VARB  355534.1N1202649.5W  -61.0Varian Well
VAS  C682500.0N 181100.0E  469.0Vassijaure
VASS  222358.0S 433908.0W  448.0Vassouras
VAVA R183936.0S1735848.0W    0.0Vava'u
VAY   411915.8N 223412.2E  168.0Valandovo
VBA   380314.0S 615832.0W  495.0Sierra de la Ventana
VBEM  450337.2N1213512.6W 1544.0Beaver Butte
VBG  R523240.9N  64013.4E   11.0Venebrugge
VBM  R     0.0N      0.0E    0.0Viburnum
VBN  C124355.2N1240130.0E    0.0Bulusan
VBPM  443939.6N1214120.4W 1876.0Bald Peter
VBU  C140513.2N1205913.2E    0.0Buco
VBV  R364707.1N 760628.8W    5.0Virginia Beach
VBY   453016.2N 151523.8E  259.0Vinica-Bojanci
VC1     3831.2S 782410.8W 4103.0Volc\'an Cotopaxi (Cotopaxi 1)
VCA   284427.0S 681206.0W 1500.0Vinchina
VCAB  355518.4N1203203.3W  590.0Vineyard Canyon
VCB  C102143.2N1230701.2E    0.0Cabagna-an
VCHI R  4730.0S 910400.0W 1490.0Volc\'an Chico
VCLM  425242.6N1220712.6W 2048.0Crater Lake
VCM  C191202.0N 960816.0W    3.0Veracruz
VCMM  420543.8N1215919.8W 1889.0Chase Mountain
VCN  C102349.2N1231225.2E    0.0Canlaon
VCR   100735.4N 853752.2W  960.0Vista de Mar
VCT   454330.0N 244203.6E  565.0Victoria
VDA   190339.6S 465710.8E 1472.0Vodivohitra
VDB   490134.0N1220610.1W  404.0Vedder Mountain
VDCF C423527.0N  22156.0E  600.0Villefranche-de-Conflent
VDF  C164539.6N 964919.2W    0.0Valdeflores
VDL   462911.4N  92811.4E 1900.0Val di Lei
VDM   490427.8N  21354.8E   70.0Villiers-Adam
VDQ   481348.0N 775818.0W  305.0Val d'Or
