-A0MAC464119.0N1061320.0W  897.0Subarray A0 LASA
AR1  C102731.0N 844356.0W  595.0Volc\'an Arenal
AR2  C103341.0N 845336.0W  763.0Lago de Cote
AR3  C103513.0N 850206.0W  760.0Tierras Morenas
AR4  C102130.0N 845934.0W  600.0Solania
AR5  C102029.0N 844929.0W 1420.0Santa Elena
AR6   102645.0N 845435.4W 1010.0Chiripa
AR7  C 95101.0N 850659.0W  582.0Cabo Frio
AR8  C101133.0N 853114.0W  511.0Nicoya
AR9  C102818.0N 844343.0W  658.0Volc\'an Norte
ARA  C380500.0S1753900.0E   65.0Arapuni
ARA0  693205.6N 253020.9E  403.0ARCESS Array Site A0
ARA1  693210.7N 253025.6E  411.0ARCESS Array Site A1
ARA2  693201.7N 253028.1E  392.0ARCESS Array Site A2
ARA3  693204.6N 253006.8E  402.0ARCESS Array Site A3
ARB1  693216.4N 253028.4E  414.0ARCESS Array Site B1
ARB2  693208.5N 253048.2E  397.0ARCESS Array Site B2
ARB3  693156.6N 253038.2E  376.0ARCESS Array Site B3
ARB4  693158.1N 252959.3E  378.0ARCESS Array Site B4
ARB5  693210.7N 252954.6E  405.0ARCESS Array Site B5
ARBF  432930.0N  51957.0E  185.0Arbois
ARC   405239.8N1240438.6W   30.1Arcata
ARC1  693228.0N 253028.4E  381.0ARCESS Array Site C1
ARC2  693217.9N 253122.4E  395.0ARCESS Array Site C2
ARC3  693158.4N 253123.2E  376.0ARCESS Array Site C3
ARC4  693145.5N 253042.1E  377.0ARCESS Array Site C4
ARC5  693148.0N 252953.5E  374.0ARCESS Array Site C5
ARC6  693202.8N 252917.5E  395.0ARCESS Array Site C6
ARC7  693222.6N 252937.0E  362.0ARCESS Array Site C7
ARCES 693205.6N 253020.9E  403.0ARCESS Array Beam Reference Point
ARD   340509.2N1350942.2E   40.0Arida
ARD1  693253.9N 253033.5E  395.0ARCESS Array Site D1
ARD2  693242.7N 253150.9E  366.0ARCESS Array Site D2
ARD3  693211.8N 253253.9E  331.0ARCESS Array Site D3
ARD4  693137.6N 253210.3E  371.0ARCESS Array Site D4
ARD5  693117.0N 253042.5E  351.0ARCESS Array Site D5
ARD6  693121.7N 252924.0E  413.0ARCESS Array Site D6
ARD7  693145.8N 252814.5E  413.0ARCESS Array Site D7
ARD8  693218.2N 252807.0E  368.0ARCESS Array Site D8
ARD9  693243.4N 252908.5E  359.0ARCESS Array Site D9
ARDR  523448.0N 932548.0E  950.0Aradan
ARE   162743.5S 712928.6W 2452.0Arequipa (Characato)
ARE0  693205.3N 253020.5E  403.0ARCESS Array Site E0
